coin,kappa,m,sigma,sigma_eq,tau
algorand,80.23265909396683,0.09732511794136509,0.6122238214985573,0.048330315819053116,0.012463752433143474
avalanche,35.884828409051806,-0.102595909228237,0.4515487046393071,0.05330085381700204,0.027866929962740296
bitcoin,0.8599279437259351,-1.4721898087979919,0.2960191946250806,0.22572197626672055,1.1628881318441104
bitcoin-cash,-4.137635631488825,0.4811174604535426,0.021791703576307785,,inf
bnb,24.390447553853207,-0.0008245745202554701,0.3092020808142466,0.04427081583110463,0.04099965766483116
cardano,19.152362227709528,0.25511368993668476,0.5403510713612617,0.08730715683006131,0.052212880484956876
chainlink,14.807802531855556,0.30964851903689755,0.5056887167391365,0.09292294352155747,0.06753196484412402
cosmos,-1.604493602070719,-0.7410977903951265,0.027193542479354207,,inf
cronos,7.563342599386474,-0.27616390965128884,0.3786047879982469,0.09734512732217725,0.1322166736280224
dogecoin,67.15867852957842,-0.1725909761577346,0.5578280230578684,0.048132038882655936,0.014890108350770691
ethereum,2.1645642736281094,-0.9032744373399658,0.3411404205707057,0.16395812368240748,0.4619867435601076
ftx-token,9.559705666510888,0.07271538660054543,0.41601480318418194,0.09514183561439492,0.10460573106378714
hex,35.01977172431611,0.08957849264375486,0.22986206498171943,0.027466014858078723,0.028555297500858532
litecoin,56.939189873232365,-0.0179545590625017,0.41343008581628077,0.038741946573399605,0.017562596205291447
monero,17.440359346687654,0.1633675020427653,0.40418510914302125,0.06843646948793541,0.05733826810110562
near-protocol,63.887262741356835,-0.08067186310730748,0.6357904747268153,0.05624603059148654,0.015652572313959213
polkadot-new,35.422131433510785,0.05205340046342976,0.4526634741352591,0.053780286235040595,0.028230938103683934
polygon,28.310548460187768,0.05916003538055246,0.6007472735799427,0.07983671687170228,0.03532252303081548
shiba-inu,82.67762286563652,-0.1807236829198413,0.7641191014909589,0.05942265714450717,0.012095171164090545
solana,36.5890905116716,-0.022471759088970443,0.4748142906080725,0.05550511112778613,0.02733055088322047
stellar,37.639958585616704,0.0997709002847084,0.3317802493905983,0.038239390637259126,0.026567510634353576
tron,45.47178897571192,0.14400377845394238,0.4516677038135923,0.047362325645166604,0.021991657300620724
uniswap,6.8036720042028245,0.6923734797903711,0.5835776502058996,0.15820199971598373,0.1469794545331214
unus-sed-leo,-9.328645585077412,-0.04616048621317541,0.008072096121457336,,inf
xrp,18.472306234704423,-0.1371250213457527,0.239767770489939,0.03944711509722243,0.054135092137075604
